;Materialnummer;Kategorie;Unterkategorie;Boxnumenummer;Name;Anzahl;Annmerkung
;1;Farbmittel;Farbstoffe;FM-PI-001;Gummi Gutti Pulver 37050;1;Kleines Fläschen
;2;Farbmittel;Farbstoffe;FM-PI-001;Sandelholz 36180;1;Kleines Fläschen
;3;Farbmittel;Farbstoffe;FM-PI-001;Curcuma 37220;1;Kleines Fläschen
;4;Farbmittel;Farbstoffe;FM-PI-001;Henna schwarzfärbend 37510;1;Kleines Fläschen
;5;Farbmittel;Farbstoffe;FM-PI-001;Krappwurzeln ganz 37199;1;Kleines Fläschen
;6;Farbmittel;Farbstoffe;FM-PI-001;Indigotin blau 94160;1;Kleines Fläschen
;7;Farbmittel;Farbstoffe;FM-PI-001;Rhodamin B 94900;1;Kleines Fläschen
;8;Farbmittel;Pigmente;FM-PI-001;Ägyptisch grün 10064;1;Kleines Fläschen
;9;Farbmittel;Pigmente;FM-PI-001;Bleinzinngelb II 10120;1;Kleines Fläschen
;10;Farbmittel;Pigmente;FM-PI-001;Blue Bice 10184;1;Kleines Fläschen
;11;Farbmittel;Pigmente;FM-PI-001;Andalusischer roter Ocker 11274;1;Kleines Fläschen
;12;Farbmittel;Pigmente;FM-PI-001;Roter Jaspis 11300;1;Kleines Fläschen
;13;Farbmittel;Pigmente;FM-PI-001;Shungit 12040;1;Kleines Fläschen
;14;Farbmittel;Pigmente;FM-PI-001;Heliogen grün dunkel 23000;1;Kleines Fläschen
;15;Farbmittel;Pigmente;FM-PI-001;Heliogen blau 23050;1;Kleines Fläschen
;16;Farbmittel;Pigmente;FM-PI-001;Pyramidengelb mittel 23370;1;Kleines Fläschen
;17;Farbmittel;Pigmente;FM-PI-001;Novacron Orange F- BR 345130;1;Kleines Fläschen
;18;Farbmittel;Pigmente;FM-PI-001;Kobalt- Grünblauoxid 44110;1;Kleines Fläschen
;117;Farbmittel;Pigmente;FM-PI-002;Scholz Pigmente;1;117-1 Bayferrox Rot 110
;118;Farbmittel;Pigmente;FM-PI-002;Scholz Pigmente;1;118-1 Bayferrox Gelb 920
;119;Farbmittel;Pigmente;FM-PI-002;Scholz Pigmente;1;119-1 Bayferrox Schwarz 360
;120;Farbmittel;Pigmente;FM-PI-002;Scholz Pigmente;1;120-1 Bayferrox Braun 610
;121;Farbmittel;Pigmente;FM-PI-002;Scholz Pigmente;1;121-1 Chromoxidgrün G2023 BB
;122;Farbmittel;Pigmente;FM-PI-002;Scholz Pigmente;1;122-1 Titandioxid G 2515 BB
;20;Farbmittel;X;FM-PI-001;Indigogrün 0- 63 µ 36267;1;Kleines Fläschen
;21;Farbmittel;X;FM-PI-001;Novacron Brillant- Blau FN- G 345160;1;Kleines Fläschen
;22;Farbmittel;X;FM-PI-001;Birkenblätter 38500;1;Kleines Fläschen
;23;Farbmittel;X;FM-PI-001;Thermochrom Pigment Purple 56843 ;1;Kleines Fläschen
;24;Farbmittel;X;FM-PI-001;Nigrosin 94050;1;Kleines Fläschen
;358;Farbmittel;X;FM-PI-001;Aegirin fein;1;358-1 Fläschchen
;359;Farbmittel;X;FM-PI-001;Uranin ;1;359-1 Fläschchen
;396;Fertigungsbeispiele;Faserverbundwerkstoffe;FB-X-007;Faserverbundwerkstoffe;7;396-1 Carbon-/Aramidfasern und Epoxisharz gewickelt
;396;Fertigungsbeispiele;Faserverbundwerkstoffe;FB-X-007;Faserverbundwerkstoffe;;396-2 Carbonfasern und Epoxidharz
;396;Fertigungsbeispiele;Faserverbundwerkstoffe;FB-X-007;Faserverbundwerkstoffe;;396-3 System mit endlos gerichteten Fasern
;396;Fertigungsbeispiele;Faserverbundwerkstoffe;FB-X-007;Faserverbundwerkstoffe;;396-4 Doppel-W-Profil Twintex 35-Vol-%
;396;Fertigungsbeispiele;Faserverbundwerkstoffe;FB-X-007;Faserverbundwerkstoffe;;396-5 WPC-Holz-Kunststoff-Verbundwerkstoff
;396;Fertigungsbeispiele;Faserverbundwerkstoffe;FB-X-007;Faserverbundwerkstoffe;;396-6 Carbonfiber-Polycarbonat
;396;Fertigungsbeispiele;Faserverbundwerkstoffe;FB-X-007;Faserverbundwerkstoffe;;396-7  Kohlenstofffasergewebe mit Kunstharz
;370;Fertigungsbeispiele;Kunstoff;FB-X-005;Fertigungsmuster Gleitlager;2;370-1 Tüte mit Gleitlager- Einzelteilen
;370;Fertigungsbeispiele;Kunstoff;FB-X-005;Fertigungsmuster Gleitlager;;370-2 Gleitlager
;394;Fertigungsbeispiele;Kunstoff ;FB-X-001;Verschiedene Dichtungsbänder ;1;394-1 Pro Clima Factum Box
;393;Fertigungsbeispiele;Kunstoff/Metall ;FB-X-005;Silikonspritze Kanüle ;1;393-1 Kanüle Zimehl
;395;Fertigungsbeispiele;Kunstoff/Stein;FB-X-006;Stone Veneer;4;395-1 Decor Slim Stone Copper Gold
;395;Fertigungsbeispiele;Kunstoff/Stein;FB-X-006;Stone Veneer;;395-2 Decor Slim Stone FLorida Green
;395;Fertigungsbeispiele;Kunstoff/Stein;FB-X-006;Stone Veneer;;395-3 Decor Slim Stone  Damascus Green
